,Nboot,NSim,N,AtoB,AtoC,BtoC,typeA,powIE,powTE,powDE,powa,powb
70,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,0.000000000000000000e+00,2.999999999999999889e-01,9.900000000000000000e+01,1.600000000000000033e-02,1.829999999999999960e-01,1.140000000000000041e-01,1.759999999999999898e-01,5.899999999999999689e-02
71,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,2.000000000000000111e-01,-4.000000000000000222e-01,9.900000000000000000e+01,2.800000000000000058e-02,1.160000000000000059e-01,6.500000000000000222e-02,2.409999999999999920e-01,8.899999999999999578e-02
72,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.000000000000000111e-01,0.000000000000000000e+00,2.000000000000000111e-01,9.900000000000000000e+01,1.000000000000000021e-02,1.250000000000000000e-01,8.699999999999999400e-02,1.280000000000000027e-01,5.999999999999999778e-02
73,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.599999999999999881e-02,9.500000000000000111e-02,7.299999999999999545e-02,1.859999999999999987e-01,1.160000000000000059e-01
74,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,4.000000000000000222e-01,2.000000000000000111e-01,9.900000000000000000e+01,2.900000000000000147e-02,1.769999999999999907e-01,1.000000000000000056e-01,1.209999999999999964e-01,1.809999999999999942e-01
75,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,2.000000000000000111e-01,-4.000000000000000222e-01,9.900000000000000000e+01,2.800000000000000058e-02,1.839999999999999969e-01,9.400000000000000022e-02,2.280000000000000082e-01,8.400000000000000522e-02
76,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-2.999999999999999889e-01,1.000000000000000056e-01,9.900000000000000000e+01,1.000000000000000021e-02,2.489999999999999991e-01,1.580000000000000016e-01,9.600000000000000200e-02,1.150000000000000050e-01
77,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-2.999999999999999889e-01,2.999999999999999889e-01,9.900000000000000000e+01,2.500000000000000139e-02,2.300000000000000100e-01,1.310000000000000053e-01,1.729999999999999871e-01,1.179999999999999938e-01
78,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,2.000000000000000111e-01,-4.000000000000000222e-01,9.900000000000000000e+01,3.099999999999999978e-02,2.280000000000000082e-01,1.100000000000000006e-01,2.389999999999999902e-01,8.200000000000000344e-02
79,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,-4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.199999999999999872e-02,1.000000000000000000e+00,9.949999999999999956e-01,1.019999999999999934e-01,1.789999999999999925e-01
80,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,-1.000000000000000056e-01,-4.000000000000000222e-01,9.900000000000000000e+01,3.400000000000000244e-02,2.210000000000000020e-01,1.370000000000000107e-01,2.680000000000000160e-01,8.400000000000000522e-02
81,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,1.000000000000000056e-01,0.000000000000000000e+00,-4.000000000000000222e-01,9.900000000000000000e+01,1.400000000000000029e-02,1.000000000000000056e-01,7.699999999999999900e-02,2.349999999999999867e-01,5.700000000000000205e-02
82,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-4.000000000000000222e-01,-4.000000000000000222e-01,9.900000000000000000e+01,4.299999999999999656e-02,2.260000000000000064e-01,2.459999999999999964e-01,2.330000000000000127e-01,1.809999999999999942e-01
83,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,-1.000000000000000056e-01,9.900000000000000000e+01,1.000000000000000021e-02,9.700000000000000289e-02,6.900000000000000577e-02,9.700000000000000289e-02,1.270000000000000018e-01
84,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,2.000000000000000111e-01,-2.000000000000000111e-01,9.900000000000000000e+01,1.700000000000000122e-02,1.739999999999999880e-01,1.549999999999999989e-01,1.239999999999999991e-01,9.500000000000000111e-02
85,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.000000000000000111e-01,2.000000000000000111e-01,-4.000000000000000222e-01,9.900000000000000000e+01,2.500000000000000139e-02,1.310000000000000053e-01,1.059999999999999970e-01,2.310000000000000109e-01,1.000000000000000056e-01
86,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,4.000000000000000222e-01,-1.000000000000000056e-01,9.900000000000000000e+01,2.000000000000000042e-02,1.990000000000000102e-01,1.809999999999999942e-01,1.100000000000000006e-01,1.660000000000000087e-01
87,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,2.000000000000000111e-01,4.000000000000000222e-01,9.900000000000000000e+01,3.400000000000000244e-02,1.620000000000000051e-01,1.570000000000000007e-01,2.290000000000000091e-01,1.069999999999999979e-01
88,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,4.000000000000000222e-01,-1.000000000000000056e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.000000000000000042e-02,2.500000000000000000e-01,1.610000000000000042e-01,1.739999999999999880e-01,6.500000000000000222e-02
89,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.900000000000000000e+01,1.400000000000000029e-02,7.799999999999999989e-02,5.700000000000000205e-02,9.800000000000000377e-02,6.300000000000000044e-02
90,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,2.999999999999999889e-01,-1.000000000000000056e-01,9.900000000000000000e+01,2.500000000000000139e-02,2.469999999999999973e-01,1.700000000000000122e-01,1.039999999999999952e-01,1.320000000000000062e-01
91,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,-4.000000000000000222e-01,-2.999999999999999889e-01,9.900000000000000000e+01,3.599999999999999728e-02,2.369999999999999885e-01,2.200000000000000011e-01,1.940000000000000058e-01,1.620000000000000051e-01
92,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,9.900000000000000000e+01,1.400000000000000029e-02,1.290000000000000036e-01,9.600000000000000200e-02,1.209999999999999964e-01,8.200000000000000344e-02
