,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
56,10.0,1000.0,99.0,0.2,0.4,0.41626006098675195,0.37338236323963314,-0.1964730344174286,0.40588210220590465,-0.07807999099762762,0.23356020524061907,0.15256108582598843,0.14385309273619884
57,10.0,1000.0,99.0,0.2,0.4,0.4017554195897079,0.3841567190719071,-0.10203523379236103,0.41623883672448353,-0.04217555936256528,0.2300935612453378,0.14694220078587114,0.15136367321414723
58,10.0,1000.0,99.0,0.2,0.4,0.4154220386103143,0.3764605742477171,0.005109576644458837,0.4204938280826267,-0.0002511000761749376,0.25166646841957707,0.13884990084228258,0.14548928883999876
59,10.0,1000.0,99.0,0.2,0.4,0.38467442352012127,0.36919972528693623,0.1066368799528343,0.43756280484788057,0.04212703253987973,0.24950174940366657,0.140930486236692,0.1429820576480955
60,10.0,1000.0,99.0,0.2,0.4,0.40029142694000464,0.388274185554465,0.19550517478716464,0.42509875540622327,0.0815823490501145,0.24898363313092603,0.1513523457578531,0.14270088760778762
61,10.0,1000.0,99.0,0.2,0.4,0.38544616496837103,0.39571557291433795,0.31647571208971703,0.4110423608129617,0.12852453779433884,0.25656303664047014,0.16650060276753698,0.1537172275729934
62,10.0,1000.0,99.0,0.2,0.4,0.41519385518507934,0.37076493755013473,0.42288532950771274,0.3931207773074655,0.18072102592927888,0.28076632513143585,0.18924402296070356,0.16209668371186706
63,10.0,1000.0,99.0,0.3,0.4,0.4013564442865369,0.38544590482504043,-0.40773899779218353,0.4100824042887333,-0.15816964343270573,0.2700516341724372,0.1999383359880007,0.17357893269893857
64,10.0,1000.0,99.0,0.3,0.4,0.4095121387813463,0.3915335145155748,-0.317394222679882,0.41463192956818895,-0.123275054976635,0.27282101052774377,0.17676689565817807,0.167808529347029
65,10.0,1000.0,99.0,0.3,0.4,0.4220497535095374,0.376912065613484,-0.19905756275905123,0.40824216613529224,-0.07794634628917452,0.23728555730722406,0.1537136132486963,0.14726301715356518
66,10.0,1000.0,99.0,0.3,0.4,0.3973371774364508,0.36493985013258373,-0.10988533592760016,0.4141077490730366,-0.04584350419590122,0.22793717112409545,0.13753725741550196,0.13835237059734332
